一级分类名称,二级分类名称,事件类型,重要程度,事件类型
信用风险事项,采购信用事项,医药采购失信企业,5,其他事件
信用风险事项,其他信用事项,文化和旅游市场轻微失信主体,4,其他事件
信用风险事项,其他信用事项,文化和旅游市场严重失信主体,5,其他事件
信用风险事项,其他信用事项,统计严重失信企业,5,其他事件
法律相关事项,市场监督违法事项,医保基金欺诈骗保案件,5,其他事件
公司人员变动,董监高变动,董监高无法履职,5,公告事件
债券发行事项,其他债券发行事项,债券违约进展,4,公告事件
债券发行事项,其他债券发行事项,债券未按时付息兑付,5,公告事件
债券发行事项,其他债券发行事项,DCM注册金额核减,4,公告事件
债券发行事项,其他债券发行事项,DCM注册金额注销,4,公告事件
中介机构报告,评级公司出具报告,列入评级观察,5,公告事件
重大交易事项,其他重大变动事项,涉及重大事项,5,公告事件
